# Time-averaged data for fix PressAve
# TimeStep c_P
11860000 -42.183
11870000 40.6227
11880000 83.2047
11890000 -91.8628
11900000 22.8074
11910000 106.537
11920000 -175.718
11930000 14.4298
11940000 200.905
11950000 180.752
11960000 82.6994
11970000 15.7005
11980000 96.9852
11990000 -150.804
12000000 56.2991
12010000 -112.322
12020000 -105.317
12030000 288.829
12040000 197.569
12050000 104.556
12060000 -61.1859
12070000 210.137
12080000 10.8876
12090000 156.274
12100000 -70.3103
12110000 -22.4241
12120000 305.088
12130000 149.627
12140000 -131.424
12150000 76.822
12160000 59.7202
12170000 52.7062
12180000 71.4007
12190000 139.671
12200000 66.2875
12210000 240.609
12220000 83.8912
12230000 -57.4253
12240000 -45.8697
12250000 21.9919
12260000 21.0025
12270000 -75.9734
12280000 -7.39961
12290000 259.771
12300000 -63.115
12310000 -30.4608
12320000 -41.8577
12330000 -34.6948
12340000 269.692
12350000 -12.7554
12360000 97.7813
12370000 132.615
12380000 -10.8277
12390000 -12.9284
12400000 -32.1328
12410000 -46.3908
12420000 123.282
12430000 98.0234
12440000 -37.293
12450000 -144.711
12460000 -83.7331
12470000 251.532
12480000 97.2088
12490000 -14.6005
12500000 107.474
12510000 32.7302
12520000 18.9234
12530000 -21.8038
12540000 113.435
12550000 -38.0646
12560000 -12.2282
12570000 23.7776
12580000 -67.1068
12590000 172.155
12600000 -19.7406
12610000 101.366
12620000 167.088
12630000 85.3365
12640000 77.0694
12650000 -14.7486
12660000 222.303
12670000 0.694963
12680000 -45.8427
12690000 -107.109
12700000 3.56138
12710000 -81.3513
12720000 -44.9375
12730000 -50.1115
12740000 105.486
12750000 90.3849
12760000 135.744
12770000 191.563
12780000 13.3212
12790000 -120.115
12800000 -37.4181
12810000 174.863
12820000 191.554
12830000 -114.666
12840000 -14.7572
12850000 -167.429
12860000 -101.58
12870000 -133.021
12880000 -93.3505
12890000 154.415
12900000 -1.74865
12910000 48.4421
12920000 -31.5062
12930000 -94.5307
